Name,Entity Type,Externally Defined Format,Description
p_20191115_F11Sep19_0.1R1_Dil.csv,,,"Corrected EEM for sample 11 September 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20191115_F28Aug19_9R1_Dil.csv,,,"Corrected EEM for sample 28 August 2019, FCR, Site 50, Depth 9.0 m, Rep 1, Dilution 1:2"
p_20200124_F10Jun19_0.1R2_Dil.csv,,,"Corrected EEM for sample 10 June 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200124_F10Jun19_5R2_Dil.csv,,,"Corrected EEM for sample 10 June 2019, FCR, Site 50, Depth 5.0 m, Rep 2, Dilution 1:2"
p_20200124_F10Jun19_9R1_Dil.csv,,,"Corrected EEM for sample 10 June 2019, FCR, Site 50, Depth 9.0 m, Rep 1, Dilution 1:2"
p_20200131_F17Jun19_0.1R1_Dil.csv,,,"Corrected EEM for sample 17 June 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20200131_F17Jun19_5R2.csv,,,"Corrected EEM for sample 17 June 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_20200131_F17Jun19_9R2.csv,,,"Corrected EEM for sample 17 June 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_20200131_F24Jun19_0.1R1_Dil.csv,,,"Corrected EEM for sample 24 June 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20200131_F24Jun19_5R1_Dil.csv,,,"Corrected EEM for sample 24 June 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2"
p_20200131_F24Jun19_9R2_Dil.csv,,,"Corrected EEM for sample 24 June 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20200221_F27Sep19_0.1R1_Dil.csv,,,"Corrected EEM for sample 27 September 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20200221_F27Sep19_0.1R2_Dil.csv,,,"Corrected EEM for sample 27 September 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200221_F27Sep19_5R1_Dil.csv,,,"Corrected EEM for sample 27 September 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2"
p_20200221_F27Sep19_5R2_Dil.csv,,,"Corrected EEM for sample 27 September 2019, FCR, Site 50, Depth 5.0 m, Rep 2, Dilution 1:2"
p_20200221_F27Sep19_9R2.csv,,,"Corrected EEM for sample 27 September 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_20200224_F3Jun19_INFR2.csv,,,"Corrected EEM for sample 3 June 2019, FCR, Site 100, Depth 0.1 m, Rep 2"
p_20200224_F3Jun19_WETR2_Dil.csv,,,"Corrected EEM for sample 3 June 2019, FCR, Site 200, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200224_F6Jun19_0.1R2_Dil.csv,,,"Corrected EEM for sample 6 June 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200224_F6Jun19_5R2.csv,,,"Corrected EEM for sample 6 June 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_20200224_F6Jun19_9R1_Dil.csv,,,"Corrected EEM for sample 6 June 2019, FCR, Site 50, Depth 9.0 m, Rep 1, Dilution 1:2"
p_20200227_F17Jun19_INFR2.csv,,,"Corrected EEM for sample 17 June 2019, FCR, Site 100, Depth 0.1 m, Rep 2"
p_20200227_F17Jun19_WETR2_Dil.csv,,,"Corrected EEM for sample 17 June 2019, FCR, Site 200, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200227_F8Jul19_INFR2_Dil.csv,,,"Corrected EEM for sample 8 July 2019, FCR, Site 100, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200227_F8Jul19_WETR1_Dil.csv,,,"Corrected EEM for sample 8 July 2019, FCR, Site 200, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20200228_F20Jun19_5R1.csv,,,"Corrected EEM for sample 20 June 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_20200228_F20Jun19_9R2_Dil.csv,,,"Corrected EEM for sample 20 June 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20200228_F22Jul19_INFR2_Dil.csv,,,"Corrected EEM for sample 22 July 2019, FCR, Site 100, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200228_F27Jun19_5R1_Dil.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2"
p_20200228_F27Jun19_9R2_Dil.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20200228_F27Jun19_SurfR2_Dil.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20200302_F20Sep19_9R1_Dil.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 50, Depth 9.0 m, Rep 1, Dilution 1:2"
p_20200302_F20Sep19_Surf_R1_Dil.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20200302_F22Jul19_WETR1_Dil.csv,,,"Corrected EEM for sample 22 July 2019, FCR, Site 200, Depth 0.1 m, Rep 1, Dilution 1:2"
p_B04Oct19_01_R2.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B04Oct19_100_R1.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 100, Depth 0.1 m, Rep 1"
p_B04Oct19_20_R2.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 20, Depth 0.1 m, Rep 2"
p_B04Oct19_200_R1.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 200, Depth 0.1 m, Rep 1"
p_B04Oct19_30_R2.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B04Oct19_45_R2.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 45, Depth 0.1 m, Rep 2"
p_B04Oct19_50_R1.csv,,,"Corrected EEM for sample 04 October 2019, BVR, Site 50, Depth 0.1 m, Rep 1"
p_B18Jul19_01_R1.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B18Jul19_100_R2.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 100, Depth 0.1 m, Rep 2"
p_B18Jul19_20_R1.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 20, Depth 0.1 m, Rep 1"
p_B18Jul19_200_R2.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 200, Depth 0.1 m, Rep 2"
p_B18Jul19_30_R2.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B18Jul19_45_R1.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 45, Depth 0.1 m, Rep 1"
p_B18Jul19_Surf_R1.csv,,,"Corrected EEM for sample 18 July 2019, BVR, Site 50, Depth 0.1 m, Rep 1"
p_B20Sep19_01_R2.csv,,,"Corrected EEM for sample 20 September 2019, BVR, Site 01, Depth 0.1 m, Rep 2"
p_B20Sep19_20_R2.csv,,,"Corrected EEM for sample 20 September 2019, BVR, Site 20, Depth 0.1 m, Rep 2"
p_B20Sep19_30_R2.csv,,,"Corrected EEM for sample 20 September 2019, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B20Sep19_45_R1.csv,,,"Corrected EEM for sample 20 September 2019, BVR, Site 45, Depth 0.1 m, Rep 1"
p_B20Sep19_50_R1.csv,,,"Corrected EEM for sample 20 September 2019, BVR, Site 50, Depth 0.1 m, Rep 1"
p_B22Aug19_01_R1.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B22Aug19_100_R2.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 100, Depth 0.1 m, Rep 2"
p_B22Aug19_20_R1.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 20, Depth 0.1 m, Rep 2"
p_B22Aug19_200_R1.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 200, Depth 0.1 m, Rep 1"
p_B22Aug19_30_R2.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B22Aug19_45_R1.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 45, Depth 0.1 m, Rep 1"
p_B22Aug19_50_R2.csv,,,"Corrected EEM for sample 22 August 2019, BVR, Site 50, Depth 0.1 m, Rep 2"
p_B27Jun19_01_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B27Jun19_100_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 100, Depth 0.1 m, Rep 1"
p_B27Jun19_20_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 20, Depth 0.1 m, Rep 1"
p_B27Jun19_200_R2.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 200, Depth 0.1 m, Rep 2"
p_B27Jun19_30_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 30, Depth 0.1 m, Rep 1"
p_B27Jun19_45_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 45, Depth 0.1 m, Rep 1"
p_B27Jun19_50_R1.csv,,,"Corrected EEM for sample 27 June 2019, BVR, Site 50, Depth 0.1 m, Rep 1"
p_B29Apr19_01_R1.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B29Apr19_100_R1.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 100, Depth 0.1 m, Rep 1"
p_B29Apr19_20_R1.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 20, Depth 0.1 m, Rep 1"
p_B29Apr19_200_R2.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 200, Depth 0.1 m, Rep 2"
p_B29Apr19_30_R2.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B29Apr19_45_R1.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 45, Depth 0.1 m, Rep 1"
p_B29Apr19_50_R1.csv,,,"Corrected EEM for sample 29 April 2019, BVR, Site 50, Depth 0.1 m, Rep 1"
p_B30Mar20_01_R2.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 01, Depth 0.1 m, Rep 2"
p_B30Mar20_100_R2.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 100, Depth 0.1 m, Rep 2"
p_B30Mar20_20_R1.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 20, Depth 0.1 m, Rep 1"
p_B30Mar20_200_R1.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 200, Depth 0.1 m, Rep 1"
p_B30Mar20_30_R2.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 30, Depth 0.1 m, Rep 2"
p_B30Mar20_45_R2.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 45, Depth 0.1 m, Rep 2"
p_B30Mar20_50_R2.csv,,,"Corrected EEM for sample 30 March 2020, BVR, Site 50, Depth 0.1 m, Rep 2"
p_B30May19_01_R1.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 01, Depth 0.1 m, Rep 1"
p_B30May19_100_R1.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 100, Depth 0.1 m, Rep 1"
p_B30May19_20_R2.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 20, Depth 0.1 m, Rep 2"
p_B30May19_200_R1.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 200, Depth 0.1 m, Rep 1"
p_B30May19_30_R1.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 30, Depth 0.1 m, Rep 1"
p_B30May19_45_R2.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 45, Depth 0.1 m, Rep 2"
p_B30May19_50_R2.csv,,,"Corrected EEM for sample 30 May 2019, BVR, Site 50, Depth 0.1 m, Rep 2"
p_F04Oct19_01_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 01, Depth 0.1 m, Rep 2"
p_F04Oct19_100_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 100, Depth 0.1 m, Rep 2"
p_F04Oct19_101_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 101, Depth 0.1 m, Rep 2"
p_F04Oct19_102_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 102, Depth 0.1 m, Rep 2"
p_F04Oct19_20_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 20, Depth 0.1 m, Rep 2"
p_F04Oct19_200_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 200, Depth 0.1 m, Rep 2"
p_F04Oct19_30_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 30, Depth 0.1 m, Rep 2"
p_F04Oct19_45_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 45, Depth 0.1 m, Rep 2"
p_F04Oct19_5m_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F04Oct19_99_R1.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 99, Depth 0.1 m, Rep 1"
p_F04Oct19_9m_R2.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F04Oct19_Surf_R1.csv,,,"Corrected EEM for sample 04 October 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_F11Sep19_5.0R2.csv,,,"Corrected EEM for sample 11 September 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F11Sep19_9.0R2.csv,,,"Corrected EEM for sample 11 September 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F12Aug19_5m_R1.csv,,,"Corrected EEM for sample 12 August 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_F12Aug19_9m_R2.csv,,,"Corrected EEM for sample 12 August 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F12Aug19_Surf_R2.csv,,,"Corrected EEM for sample 12 August 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F13Jun19_0.1R2.csv,,,"Corrected EEM for sample 13 June 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F16Oct19_5m_R2.csv,,,"Corrected EEM for sample 16 October 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F16Oct19_9m_R2.csv,,,"Corrected EEM for sample 16 October 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F16Oct19_Surf_R1.csv,,,"Corrected EEM for sample 16 October 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_F18Jul19_01_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 01, Depth 0.1 m, Rep 1"
p_F18Jul19_100_R2.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 100, Depth 0.1 m, Rep 2"
p_F18Jul19_101_R2.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 101, Depth 0.1 m, Rep 2"
p_F18Jul19_102_R2.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 102, Depth 0.1 m, Rep 2"
p_F18Jul19_20_R2.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 20, Depth 0.1 m, Rep 2"
p_F18Jul19_200_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 200, Depth 0.1 m, Rep 1"
p_F18Jul19_30_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 30, Depth 0.1 m, Rep 1"
p_F18Jul19_45_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 45, Depth 0.1 m, Rep 1"
p_F18Jul19_99_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 99, Depth 0.1 m, Rep 1"
p_F18Jul19_Surf_R1.csv,,,"Corrected EEM for sample 18 July 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_F19Aug19_5mR2.csv,,,"Corrected EEM for sample 19 August 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F19Aug19_9mR1.csv,,,"Corrected EEM for sample 19 August 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F19Aug19_Inf_R1.csv,,,"Corrected EEM for sample 19 August 2019, FCR, Site 100, Depth 0.1 m, Rep 1"
p_F19Aug19_Wet_R2.csv,,,"Corrected EEM for sample 19 August 2019, FCR, Site 200, Depth 0.1 m, Rep 2"
p_F19Aug19Surf_R1.csv,,,"Corrected EEM for sample 19 August 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_F19Mar20_01_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 01, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F19mar20_100_R1.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 100, Depth 0.1 m, Rep 1 (NOT: 19 March 2020)"
p_F19Mar20_101_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 101, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F19Mar20_102_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 102, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F19mar20_20_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 20, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F19Mar20_200_R1.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 200, Depth 0.1 m, Rep 1 (NOT: 19 March 2020)"
p_F19Mar20_30_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 30, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F19Mar20_45_R1.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 45, Depth 0.1 m, Rep 1 (NOT: 19 March 2020)"
p_F19Mar20_99_R2.csv,,,"Corrected EEM for sample 30 March 2020, FCR, Site 99, Depth 0.1 m, Rep 2 (NOT: 19 March 2020)"
p_F1Jul19_5mR1.csv,,,"Corrected EEM for sample 01 July 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_F1Jul19_9.0mR1.csv,,,"Corrected EEM for sample 01 July 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F20May19_0.1mR2.csv,,,"Corrected EEM for sample 20 May 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F20May19_5.0mR2.csv,,,"Corrected EEM for sample 20 May 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F20May19_9.0mR2.csv,,,"Corrected EEM for sample 20 May 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F20Nov19_5m_R1.csv,,,"Corrected EEM for sample 20 November 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_F20Nov19_9m_R1.csv,,,"Corrected EEM for sample 20 November 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F20Nov19_Surf_R2.csv,,,"Corrected EEM for sample 20 November 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F20Sep19_100_R1.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 100, Depth 0.1 m, Rep 1"
p_F20Sep19_20_R1.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 20, Depth 0.1 m, Rep 1"
p_F20Sep19_30_R2.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 30, Depth 0.1 m, Rep 2"
p_F20Sep19_45_R1.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 45, Depth 0.1 m, Rep 1"
p_F20Sep19_9R2_Dil.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_F20Sep19_SurfR2_Dil.csv,,,"Corrected EEM for sample 20 September 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_F22Aug19_0.1R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_F22Aug19_01_R2.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 01, Depth 0.1 m, Rep 2"
p_F22Aug19_100_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 100, Depth 0.1 m, Rep 1"
p_F22Aug19_101_R2.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 101, Depth 0.1 m, Rep 2"
p_F22Aug19_102_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 102, Depth 0.1 m, Rep 1"
p_F22Aug19_20_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 20, Depth 0.1 m, Rep 1"
p_F22Aug19_200_R2.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 200, Depth 0.1 m, Rep 2"
p_F22Aug19_30_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 30, Depth 0.1 m, Rep 1"
p_F22Aug19_45_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 45, Depth 0.1 m, Rep 1"
p_F22Aug19_5.0R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_F22Aug19_50_R2.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F22Aug19_5m_R2.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F22Aug19_99_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 99, Depth 0.1 m, Rep 1"
p_F22Aug19_9m_R1.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F22Jul19_0.1mR1_Dil.csv,,,"Corrected EEM for sample 22 July 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_F22Jul19_5mR2.csv,,,"Corrected EEM for sample 22 July 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F22Jul19_9mR2_Dil.csv,,,"Corrected EEM for sample 22 July 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_F23Oct19_5m_R2.csv,,,"Corrected EEM for sample 23 October 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F23Oct19_9m_R2.csv,,,"Corrected EEM for sample 23 October 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_F23Oct19_Surf_R2.csv,,,"Corrected EEM for sample 23 October 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F27Jun19_01_R2.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 01, Depth 0.1 m, Rep 2"
p_F27Jun19_100_R2.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 100, Depth 0.1 m, Rep 2"
p_F27Jun19_101_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 101, Depth 0.1 m, Rep 1"
p_F27Jun19_102_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 102, Depth 0.1 m, Rep 1"
p_F27Jun19_20_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 20, Depth 0.1 m, Rep 1"
p_F27Jun19_200_R2.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 200, Depth 0.1 m, Rep 2"
p_F27Jun19_30_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 30, Depth 0.1 m, Rep 1"
p_F27Jun19_45_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 45, Depth 0.1 m, Rep 1"
p_F27Jun19_50_R2.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F27Jun19_5m_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_F27Jun19_99_R2.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 99, Depth 0.1 m, Rep 2"
p_F27Jun19_9m_R1.csv,,,"Corrected EEM for sample 27 June 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F27May19_9m_R1.csv,,,"Corrected EEM for sample 27 May 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_F28Aug19_5.0R2.csv,,,"Corrected EEM for sample 29 August 2019, FCR, Site 50, Depth 5.0 m, Rep 2"
p_F28Aug190_0.1R2.csv,,,"Corrected EEM for sample 29 August 2019, FCR, Site 50, Depth 0.1 m, Rep 2"
p_F29Apr19_01_R1.csv,,,"Corrected EEM for sample 29 April 2019, FCR, Site 01, Depth 0.1 m, Rep 1"
